Team,MapName,Result,Margin,R,ACS,K,D,A,ADR,FK,FD,VS
KOI,Icebox,Loss,-2,0.9039999999999999,174.4,14.6,16.6,7.2,118.0,1.6,3.2,NRG
NRG,Icebox,Win,2,1.126,204.2,16.6,14.6,6.2,131.4,3.2,1.6,KOI
KOI,Haven,Loss,-4,0.866,166.6,12.4,13.8,5.4,107.2,1.6,2.8,NRG
NRG,Haven,Win,4,1.1460000000000001,188.2,13.8,12.4,7.6,121.8,2.8,1.6,KOI
DFM,Haven,Loss,-9,0.5740000000000001,154.4,9.0,14.2,3.2,102.8,1.4,2.0,GIA
GIA,Haven,Win,9,1.428,225.8,14.2,9.0,6.2,149.0,2.0,1.4,DFM
DFM,Icebox,Loss,-6,0.8300000000000001,179.6,11.8,15.6,5.0,114.8,1.6,2.4,GIA
GIA,Icebox,Win,6,1.184,209.8,15.6,11.8,4.8,148.6,2.4,1.6,DFM
FPX,Lotus,Loss,-7,0.782,176.2,11.2,15.8,6.0,111.8,0.4,3.4,KC
KC,Lotus,Win,7,1.2200000000000002,225.2,15.8,11.2,6.6,140.4,3.4,0.4,FPX
FPX,Haven,Win,5,1.076,210.6,16.2,13.6,5.8,138.6,2.2,2.0,KC
KC,Haven,Loss,-5,0.9019999999999999,193.2,13.6,16.4,5.6,118.6,2.0,2.2,FPX
FPX,Pearl,Loss,-7,0.8400000000000001,168.4,10.6,14.6,5.4,106.2,1.0,2.8,KC
KC,Pearl,Win,7,1.1700000000000002,215.6,14.6,10.6,4.6,136.6,2.8,1.0,FPX
BBL,Pearl,Loss,-10,0.6839999999999999,160.8,8.8,13.8,3.0,110.4,1.4,1.8,DRX
DRX,Pearl,Win,10,1.31,237.6,13.8,8.8,7.2,142.8,1.8,1.4,BBL
BBL,Ascent,Win,2,1.05,201.2,17.6,16.4,8.4,130.6,3.0,1.8,DRX
DRX,Ascent,Loss,-2,1.016,206.8,16.4,17.6,9.2,140.6,1.8,3.0,BBL
BBL,Haven,Loss,-6,0.8,165.8,11.2,15.6,3.8,106.8,0.8,3.2,DRX
DRX,Haven,Win,6,1.189,218.1,15.5,11.4,7.7,147.8,2.7,1.3,BBL
C9,Lotus,Win,5,1.204,221.4,16.8,13.0,8.2,144.0,2.4,1.8,PRX
PRX,Lotus,Loss,-5,0.844,184.0,13.0,16.8,6.0,124.2,1.8,2.4,C9
C9,Pearl,Win,9,1.3679999999999999,241.4,14.8,9.0,8.4,153.6,2.0,1.4,PRX
